City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hokitika,NZ,-42.7167,170.9667,58.57,74,100,2.42,overcast clouds
80,Hanzhong,CN,33.0728,107.0303,35.46,77,90,2.37,overcast clouds
81,Okakarara,NA,-20.5833,17.4333,68.94,77,100,4.61,moderate rain
82,North Bend,US,43.4065,-124.2243,54.07,71,0,4.61,clear sky
83,Washington,US,47.5001,-120.5015,27.09,73,100,2.48,overcast clouds
84,Chimbote,PE,-9.0853,-78.5783,74.59,71,100,11.48,overcast clouds
85,Lagoa,PT,39.05,-27.9833,58.05,75,71,12.08,broken clouds
86,Moberly,US,39.4184,-92.4382,47.62,41,0,6.91,clear sky
87,Batemans Bay,AU,-35.7167,150.1833,75.2,96,98,2.1,overcast clouds
88,Rikitea,PF,-23.1203,-134.9692,77.32,74,100,11.43,overcast clouds
89,Dingle,PH,10.9995,122.6711,74.98,91,11,1.86,few clouds
90,Ust-Nera,RU,64.5667,143.2,-16.37,100,100,0.45,overcast clouds
91,Kirakira,SB,-10.4544,161.9205,79.48,86,100,8.19,moderate rain
92,Remigio,BR,-6.9333,-35.7833,79.88,68,91,6.93,overcast clouds
93,Araouane,ML,18.9048,-3.5265,73.42,13,91,12.35,overcast clouds
94,Riyadh,SA,24.6877,46.7219,53.74,35,0,11.3,clear sky
95,Launceston,AU,-41.45,147.1667,58.64,80,40,1.01,scattered clouds
96,Margate,GB,51.3813,1.3862,50.97,64,66,8.99,broken clouds
97,Ola,RU,59.5833,151.2833,9.63,79,100,12.97,overcast clouds
98,Wajir,KE,1.7471,40.0573,85.28,31,3,6.35,clear sky
99,Port Hardy,CA,50.6996,-127.4199,46.76,87,100,18.41,light rain
100,Graz,AT,47.0667,15.45,37.06,62,0,1.99,clear sky
101,Mackay,AU,-21.15,149.2,74.68,88,22,8.05,few clouds
102,Pevek,RU,69.7008,170.3133,-15.81,99,98,2.08,overcast clouds
103,Nkayi,CG,-4.1841,13.2884,76.44,91,100,4.21,overcast clouds
104,Bluff,NZ,-46.6,168.3333,61.81,89,100,6.62,overcast clouds
105,Moranbah,AU,-22.0016,148.0466,70.07,88,30,8.9,scattered clouds
106,Marzuq,YE,14.4,46.4667,62.42,77,10,4.65,clear sky
107,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,57,9.55,broken clouds
108,Tornio,FI,65.8481,24.1466,23.02,93,100,11.63,overcast clouds
109,Sistranda,NO,63.7256,8.834,38.89,84,93,24.0,overcast clouds
110,Whitehorse,CA,60.7161,-135.0538,25.11,81,75,5.01,light snow
111,Luhyny,UA,51.082,28.4006,22.03,93,81,10.74,broken clouds
112,Charters Towers,AU,-20.1,146.2667,70.81,88,0,6.67,clear sky
113,Thompson,CA,55.7435,-97.8558,-0.24,71,40,6.91,scattered clouds
114,Mazamari,PE,-11.3258,-74.5308,86.97,51,100,3.31,moderate rain
115,Port Elizabeth,ZA,-33.918,25.5701,69.1,77,75,11.5,broken clouds
116,Rio Grande,BR,-32.035,-52.0986,80.71,53,0,13.87,clear sky
117,Souillac,MU,-20.5167,57.5167,80.98,78,40,8.05,scattered clouds
118,Girne,CY,35.3417,33.3167,55.29,82,69,9.33,broken clouds
119,Cherskiy,RU,68.75,161.3,-29.31,100,30,1.07,scattered clouds
120,Port Blair,IN,11.6667,92.75,77.04,88,75,2.3,mist
121,Upernavik,GL,72.7868,-56.1549,1.89,93,100,5.35,overcast clouds
122,Bengkulu,ID,-3.8004,102.2655,76.19,90,100,3.89,overcast clouds
123,Dubasari,MD,47.2631,29.1608,31.3,87,11,6.06,few clouds
124,Khatanga,RU,71.9667,102.5,-4.16,99,100,5.01,overcast clouds
125,Karratha,AU,-20.7377,116.8463,80.98,62,68,16.33,broken clouds
126,Krasnoselkup,RU,65.7,82.4667,-10.68,99,99,7.67,overcast clouds
127,Kruisfontein,ZA,-34.0033,24.7314,66.88,86,0,6.64,clear sky
128,Sao Filipe,CV,14.8961,-24.4956,71.11,71,100,12.57,overcast clouds
129,Santa Maria,BR,-29.6842,-53.8069,81.7,44,40,17.27,scattered clouds
130,Saskylakh,RU,71.9167,114.0833,-22.13,99,99,3.42,overcast clouds
131,Fuyu,CN,45.1833,124.8167,-5.64,94,5,3.96,clear sky
132,Omsukchan,RU,62.5333,155.8,-6.74,96,100,5.01,overcast clouds
133,Sitka,US,57.0531,-135.33,39.09,81,75,12.66,moderate rain
134,Narsaq,GL,60.9167,-46.05,17.82,94,99,3.78,overcast clouds
135,Hofn,IS,64.2539,-15.2082,24.82,58,0,5.75,clear sky
136,Kattivakkam,IN,13.2167,80.3167,79.07,80,40,10.31,scattered clouds
137,Bredasdorp,ZA,-34.5322,20.0403,66.27,70,5,11.9,clear sky
138,Ambulu,ID,-8.345,113.6058,76.35,91,100,2.53,overcast clouds
139,Kamskiye Polyany,RU,55.4307,51.4171,9.41,95,100,4.59,snow
140,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,79.68,70,54,5.75,broken clouds
141,Vitim,RU,59.4511,112.5578,-9.65,100,99,3.13,overcast clouds
142,Mandurah,AU,-32.55,115.7,75.45,72,24,12.53,few clouds
143,Asau,RO,46.4333,26.4,25.72,89,79,7.61,broken clouds
144,Brownsville,US,25.9018,-97.4975,64.35,42,100,1.99,overcast clouds
145,Severo-Kurilsk,RU,50.6789,156.125,23.45,77,87,19.37,overcast clouds
146,Faanui,PF,-16.4833,-151.75,79.68,75,19,11.9,light rain
147,Hibbing,US,47.4272,-92.9377,24.15,62,0,6.91,clear sky
148,Pascagoula,US,30.3658,-88.5561,50.72,24,0,7.83,clear sky
149,Ginda,IN,30.6945,78.4932,39.52,39,0,8.63,clear sky
150,Puri,IN,19.8,85.85,57.72,40,5,3.29,clear sky
151,Lethem,GY,3.3803,-59.7968,91.89,35,91,11.27,overcast clouds
152,Santa Cruz De Tenerife,ES,28.4682,-16.2546,67.71,80,40,5.01,haze
153,Airai,TL,-8.9266,125.4092,60.64,93,100,3.42,overcast clouds
154,Novoagansk,RU,61.9449,76.6625,-3.53,99,100,4.81,overcast clouds
155,Mar Del Plata,AR,-38.0023,-57.5575,86.02,88,0,21.99,clear sky
156,Bubaque,GW,11.2833,-15.8333,78.26,71,100,20.87,overcast clouds
157,Carnarvon,AU,-24.8667,113.6333,75.27,88,67,9.22,broken clouds
158,Namatanai,PG,-3.6667,152.4333,79.48,81,100,2.26,light rain
159,Yulara,AU,-25.2406,130.9889,80.44,65,100,14.97,overcast clouds
160,Kwinana,AU,-32.25,115.7667,75.49,70,22,8.57,few clouds
161,Iskandar,UZ,41.5539,69.7008,32.85,60,100,7.87,overcast clouds
162,Noumea,NC,-22.2763,166.4572,79.0,99,71,7.85,broken clouds
163,Hailun,CN,47.45,126.9333,-10.25,100,84,4.32,broken clouds
164,Biaora,IN,23.8667,76.9167,56.86,34,0,0.49,clear sky
165,Gwadar,PK,25.1216,62.3254,71.01,78,0,10.04,clear sky
166,Clyde River,CA,70.4692,-68.5914,-7.37,64,100,14.97,snow
167,Iquique,CL,-20.2208,-70.1431,73.44,73,42,3.24,scattered clouds
168,Touros,BR,-5.1989,-35.4608,83.3,73,100,10.27,overcast clouds
169,Cidreira,BR,-30.1811,-50.2056,74.52,56,78,13.35,broken clouds
170,Mareeba,AU,-17.0,145.4333,72.32,98,97,2.21,overcast clouds
171,Camopi,GF,3.1655,-52.3158,76.17,95,75,3.13,broken clouds
172,Harper,LR,4.375,-7.7169,80.15,85,63,7.23,broken clouds
173,Sioux Lookout,CA,50.1001,-91.917,8.98,78,100,5.75,overcast clouds
174,Kamen-Na-Obi,RU,53.7884,81.3423,-9.09,99,71,4.74,broken clouds
175,Coihaique,CL,-45.5752,-72.0662,68.61,42,40,10.36,scattered clouds
176,Hithadhoo,MV,-0.6,73.0833,81.05,66,94,2.51,overcast clouds
