City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Mitsamiouli,KM,81.21,broken clouds,-11.3847,43.2844,Foyer ADM
271,Tefe,BR,82.51,broken clouds,-3.3542,-64.7114,Aracati Hotel
278,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
280,Saint-Pierre,RE,78.48,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
284,Vanimo,PG,75.97,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
290,Santiago,CL,85.28,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
296,La Asuncion,VE,79.39,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
297,Kavieng,PG,81.25,moderate rain,-2.5744,150.7967,Nusa Island Retreat
298,Malanville,BJ,75.61,clear sky,11.8685,3.3899,Hotel Sejour du Sahel
302,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
308,Yenagoa,NG,77.29,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
312,Vallenar,CL,81.97,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
317,Catuday,PH,78.12,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
318,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
320,Dinahican,PH,79.2,clear sky,14.7167,121.7167,Blue Pavilion Beach Resort
322,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
323,Lodwar,KE,87.06,clear sky,3.1191,35.5973,Solmar Gracious Hotel
328,San Cristobal,VE,80.78,clear sky,7.7669,-72.225,Posada Villaven C.A.
329,Port Keats,AU,81.18,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
332,El Cope,PA,83.66,clear sky,8.6167,-80.6,Hostal Buena Esperanza
333,Gigmoto,PH,78.55,scattered clouds,13.7796,124.39,Cj's Travellers Inn
335,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
342,Inongo,CD,77.23,overcast clouds,-1.95,18.2667,Hotel Du Lac
343,Lorengau,PG,80.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
355,Lubao,PH,80.67,clear sky,14.9167,120.55,Hacienda Gracia
357,Sao Joao Da Barra,BR,86.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
373,Sao Jose Da Coroa Grande,BR,77.38,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
377,Rocha,UY,77.54,clear sky,-34.4833,-54.3333,Hotel Arrarte
389,Puerto Baquerizo Moreno,EC,81.59,few clouds,-0.9,-89.6,Hotel los Algarrobos
391,Gunjur,GM,77.07,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
393,Bouna,CI,80.15,broken clouds,9.2667,-3.0,Hôtel lababa
394,Santa Catalina,PH,77.32,broken clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
